state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Kelantan,Kelantan,2018,Food inflation,1,1.0250000000000001,1.0%,76.31578947368422,64.39608993566556,Higher values mean more price pressure,%,107584.79999999999,657010.4,99409,1860.5,Higher exposure
Kelantan,Kelantan,2018,"Crop production per 1,000 residents",2,353.13646869121203,353.1,67.61747066719877,64.39608993566556,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",107584.79999999999,657010.4,99409,1860.5,Higher exposure
Kelantan,Kelantan,2018,"Fish landings per 1,000 residents",3,53.43133566245633,53.4,86.02406070591978,64.39608993566556,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",107584.79999999999,657010.4,99409,1860.5,Higher exposure
Kelantan,Kelantan,2018,Population,4,1860.5,"1,860.5 thousand",27.627038895859474,64.39608993566556,Higher values mean stronger demand pressure,thousand people,107584.79999999999,657010.4,99409,1860.5,Lower exposure
Kelantan,Kelantan,2019,Food inflation,1,1.025,1.0%,25.54744525547445,51.63595982391401,Higher values mean more price pressure,%,106136.5,623173.5,90200,1883.8,Lower exposure
Kelantan,Kelantan,2019,"Crop production per 1,000 residents",2,330.80661429026435,330.8,63.73744503028241,51.63595982391401,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",106136.5,623173.5,90200,1883.8,Moderate exposure
Kelantan,Kelantan,2019,"Fish landings per 1,000 residents",3,47.881940758042255,47.9,89.40573055450801,51.63595982391401,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",106136.5,623173.5,90200,1883.8,Higher exposure
Kelantan,Kelantan,2019,Population,4,1883.8,"1,883.8 thousand",27.85321845539115,51.63595982391401,Higher values mean stronger demand pressure,thousand people,106136.5,623173.5,90200,1883.8,Lower exposure
Kelantan,Kelantan,2020,Food inflation,1,0.8833333333333333,0.9%,36.69724770642202,49.2712815321339,Higher values mean more price pressure,%,110014.5,661122.7,73580,1792.5,Moderate exposure
Kelantan,Kelantan,2020,"Crop production per 1,000 residents",2,368.8271687587168,368.8,52.47664715149727,49.2712815321339,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",110014.5,661122.7,73580,1792.5,Moderate exposure
Kelantan,Kelantan,2020,"Fish landings per 1,000 residents",3,41.04881450488145,41.0,83.3087353652346,49.2712815321339,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",110014.5,661122.7,73580,1792.5,Higher exposure
Kelantan,Kelantan,2020,Population,4,1792.5,"1,792.5 thousand",24.602495905381712,49.2712815321339,Higher values mean stronger demand pressure,thousand people,110014.5,661122.7,73580,1792.5,Lower exposure
Kelantan,Kelantan,2021,Food inflation,1,2.1166666666666667,2.1%,82.48847926267283,62.4578094327674,Higher values mean more price pressure,%,110378.9,692893.8,58274,1812.3,Higher exposure
Kelantan,Kelantan,2021,"Crop production per 1,000 residents",2,382.3284224466148,382.3,59.74115514242061,62.4578094327674,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",110378.9,692893.8,58274,1812.3,Moderate exposure
Kelantan,Kelantan,2021,"Fish landings per 1,000 residents",3,32.154720520885064,32.2,82.7949199895112,62.4578094327674,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",110378.9,692893.8,58274,1812.3,Higher exposure
Kelantan,Kelantan,2021,Population,4,1812.3,"1,812.3 thousand",24.806683336464943,62.4578094327674,Higher values mean stronger demand pressure,thousand people,110378.9,692893.8,58274,1812.3,Lower exposure
Kelantan,Kelantan,2022,Food inflation,1,4.491666666666666,4.5%,27.096774193548384,49.331674783471,Higher values mean more price pressure,%,112416.0,627807.4,55084,1830.6,Lower exposure
Kelantan,Kelantan,2022,"Crop production per 1,000 residents",2,342.9517098219163,343.0,60.91375842878307,49.331674783471,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",112416.0,627807.4,55084,1830.6,Moderate exposure
Kelantan,Kelantan,2022,"Fish landings per 1,000 residents",3,30.090680651152628,30.1,84.38304027115217,49.331674783471,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",112416.0,627807.4,55084,1830.6,Higher exposure
Kelantan,Kelantan,2022,Population,4,1830.6,"1,830.6 thousand",24.933126240400373,49.331674783471,Higher values mean stronger demand pressure,thousand people,112416.0,627807.4,55084,1830.6,Lower exposure
Melaka,Melaka,2018,Food inflation,1,1.325,1.3%,86.8421052631579,73.52858577467047,Higher values mean more price pressure,%,9628.2,62685.100000000006,1906,922.4,Higher exposure
Melaka,Melaka,2018,"Crop production per 1,000 residents",2,67.95869470945361,68.0,94.74786387346093,73.52858577467047,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",9628.2,62685.100000000006,1906,922.4,Higher exposure
Melaka,Melaka,2018,"Fish landings per 1,000 residents",3,2.066348655680833,2.1,99.61032126444701,73.52858577467047,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",9628.2,62685.100000000006,1906,922.4,Higher exposure
Melaka,Melaka,2018,Population,4,922.4,922.4 thousand,12.91405269761606,73.52858577467047,Higher values mean stronger demand pressure,thousand people,9628.2,62685.100000000006,1906,922.4,Lower exposure
Melaka,Melaka,2019,Food inflation,1,1.2916666666666667,1.3%,37.22627737226278,61.28907367070693,Higher values mean more price pressure,%,9101.300000000001,49734.2,1872,928.4,Moderate exposure
